Timestamp,District,Crop_Type,Temperature (°C),Humidity (%),Rainfall (mm),Yield (tonnes/ha),Production (tonnes),Area (hectares)
15-01-2020,Ludhiana,Wheat,18.5,65.0,12.3,4.2,8500.0,2000.0
10-02-2020,Amritsar,Wheat,20.2,70.0,8.5,4.1,8200.0,2005.0
20-12-2020,Bathinda,Wheat,16.8,68.0,10.1,4.3,8600.0,2010.0
22-01-2021,Gurdaspur,Wheat,17.9,72.0,9.2,4.4,8700.0,2020.0
14-02-2021,Jalandhar,Wheat,19.5,74.0,7.8,4.2,8300.0,1980.0
25-12-2021,Patiala,Wheat,15.5,70.0,11.0,4.5,8800.0,2050.0
10-01-2022,Ludhiana,Wheat,18.0,66.0,11.5,4.6,8900.0,2060.0
05-02-2022,Amritsar,Wheat,19.8,71.0,9.0,4.3,8400.0,2000.0
15-12-2022,Bathinda,Wheat,17.0,67.0,10.5,4.7,9000.0,2080.0
18-01-2023,Gurdaspur,Wheat,17.5,64.0,13.0,4.8,9100.0,2100.0
15-01-2020,Ludhiana,Wheat,18.5,65.0,12.3,4.2,8500.0,2000.0
10-02-2020,Amritsar,Wheat,20.2,70.0,8.5,4.1,8200.0,2005.0
20-12-2020,Bathinda,Wheat,16.8,68.0,10.1,4.3,8600.0,2010.0
22-01-2021,Gurdaspur,Wheat,17.9,72.0,9.2,4.4,8700.0,2020.0
14-02-2021,Ludhiana,Wheat,19.5,74.0,7.8,4.2,8300.0,1980.0
25-12-2021,Amritsar,Wheat,15.5,70.0,11.0,4.5,8800.0,2050.0
10-01-2022,Bathinda,Wheat,18.0,66.0,11.5,4.6,8900.0,2060.0
05-02-2022,Gurdaspur,Wheat,19.8,71.0,9.0,4.3,8400.0,2000.0
15-12-2022,Ludhiana,Wheat,17.0,67.0,10.5,4.7,9000.0,2080.0
18-01-2023,Amritsar,Wheat,17.5,64.0,13.0,4.8,9100.0,2100.0
05-01-2015,Ludhiana,Wheat,16.8,60.0,8.2,3.9,7800.0,2000.0
01-02-2015,Amritsar,Wheat,18.4,65.0,6.5,4.0,8000.0,2000.0
10-12-2015,Bathinda,Wheat,15.2,62.0,9.0,4.1,8200.0,2000.0
15-01-2016,Gurdaspur,Wheat,17.0,68.0,10.5,4.2,8400.0,2000.0
10-02-2016,Jalandhar,Wheat,19.1,70.0,7.8,4.0,8000.0,2000.0
20-12-2016,Patiala,Wheat,14.5,66.0,11.2,4.3,8600.0,2000.0
25-01-2017,Ludhiana,Wheat,17.5,72.0,9.5,4.4,8800.0,2000.0
18-02-2017,Amritsar,Wheat,20.0,74.0,8.0,4.1,8200.0,2000.0
15-12-2017,Bathinda,Wheat,16.0,68.0,10.8,4.5,9000.0,2000.0
10-01-2018,Gurdaspur,Wheat,17.2,62.0,10.5,4.0,8000.0,2000.0
20-06-2020,Bathinda,Paddy,32.1,85.0,45.6,3.8,9500.0,2500.0
18-07-2020,Gurdaspur,Paddy,31.8,88.0,52.1,3.7,9200.0,2480.0
25-06-2021,Ludhiana,Paddy,33.0,86.0,48.2,3.9,9600.0,2520.0
20-07-2021,Amritsar,Paddy,32.5,89.0,55.0,3.8,9300.0,2500.0
15-06-2022,Bathinda,Paddy,32.5,87.0,50.0,4.0,9700.0,2550.0
10-07-2022,Gurdaspur,Paddy,32.0,90.0,57.0,3.9,9400.0,2520.0
22-06-2023,Ludhiana,Paddy,33.5,84.0,47.0,4.1,9800.0,2580.0
15-07-2023,Amritsar,Paddy,33.2,85.0,49.5,4.0,9500.0,2550.0
10-12-2023,Bathinda,Paddy,30.5,82.0,40.0,4.2,9900.0,2600.0
20-12-2023,Gurdaspur,Paddy,30.0,83.0,42.0,4.1,9600.0,2570.0
20-06-2020,Bathinda,Paddy,32.1,85.0,45.6,3.8,9500.0,2500.0
18-07-2020,Gurdaspur,Paddy,31.8,88.0,52.1,3.7,9200.0,2480.0
25-06-2021,Ludhiana,Paddy,33.0,86.0,48.2,3.9,9600.0,2520.0
20-07-2021,Amritsar,Paddy,32.5,89.0,55.0,3.8,9300.0,2500.0
15-06-2022,Jalandhar,Paddy,32.5,87.0,50.0,4.0,9700.0,2550.0
10-07-2022,Patiala,Paddy,32.0,90.0,57.0,3.9,9400.0,2520.0
22-06-2023,Bathinda,Paddy,33.5,84.0,47.0,4.1,9800.0,2580.0
15-07-2023,Gurdaspur,Paddy,33.2,85.0,49.5,4.0,9500.0,2550.0
12-08-2020,Ludhiana,Paddy,32.8,88.0,52.5,4.2,9900.0,2600.0
15-08-2021,Amritsar,Paddy,33.1,87.0,50.0,4.3,10000.0,2620.0
10-06-2015,Bathinda,Paddy,30.5,80.0,35.0,3.4,8500.0,2500.0
05-07-2015,Gurdaspur,Paddy,30.0,83.0,40.0,3.5,8700.0,2500.0
01-08-2015,Ludhiana,Paddy,31.0,85.0,45.0,3.6,8900.0,2500.0
15-06-2016,Amritsar,Paddy,31.5,82.0,42.5,3.7,9100.0,2500.0
10-07-2016,Jalandhar,Paddy,31.2,84.0,47.5,3.8,9300.0,2500.0
05-08-2016,Patiala,Paddy,30.8,86.0,52.5,3.9,9500.0,2500.0
20-06-2017,Bathinda,Paddy,32.0,88.0,50.0,4.0,9700.0,2500.0
15-07-2017,Gurdaspur,Paddy,31.5,90.0,55.0,3.9,9400.0,2500.0
10-08-2017,Ludhiana,Paddy,32.5,87.0,52.5,4.1,9800.0,2500.0
25-06-2018,Amritsar,Paddy,33.0,84.0,47.0,4.2,9900.0,2500.0
01-07-2018,Punjab (State),Paddy,32.5,85.0,650.0,4340.0,13381.8,3085.0
01-07-2019,Punjab (State),Paddy,32.0,84.0,620.0,4280.0,13200.0,3080.0
01-07-2020,Punjab (State),Paddy,31.8,86.0,680.0,4193.0,12990.0,3098.0
01-07-2021,Punjab (State),Paddy,32.2,87.0,700.0,4340.0,13510.0,3112.0
01-07-2022,Punjab (State),Paddy,32.4,85.0,660.0,4216.0,12890.0,3058.0
01-07-2023,Punjab (State),Paddy,32.1,86.0,710.0,4193.0,12990.0,3098.0
01-07-2024,Punjab (State),Paddy,32.3,85.0,680.0,6674.0,20500.0,3072.0
01-07-2023,Ludhiana,Paddy,32.5,86.0,720.0,6740.0,1235.0,258.8
01-07-2023,Amritsar,Paddy,32.0,84.0,690.0,6500.0,1100.0,220.0
01-07-2023,Bathinda,Paddy,32.8,87.0,740.0,6800.0,1300.0,265.0
